Year,Artistic Swimming,Diving,Marathon Swimming,Swimming,Water Polo,Archery,Athletics,Badminton,Baseball,Softball,3x3,Basketball,Basque Pelota,Boxing,Breaking,Sprint,Slalom,Cricket,Croquet,BMX Freestyle,BMX Racing,Mountain Bike,Road,Track,Dressage,Eventing,Jumping,Vaulting,Driving,Fencing,Field hockey,Flag football,Football,Golf,Artistic,Rhythmic,Trampoline,Indoor,Field,Jeu de Paume,Judo,Karate,Sixes,Field.1,Modern Pentathlon,Polo,Rackets,Roque,Coastal,Rowing,Sevens,Union,Sailing,Shooting,Skateboarding,Sport Climbing,Squash,Surfing,Table Tennis,Taekwondo,Tennis,Triathlon,Tug of War,Beach,Indoor.1,Water Motorsports,Weightlifting,Freestyle,Greco-Roman
1896,0,0,0,44,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,55,0,0,0,0,0,33,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,22,0,0,0,0,0,22,0,11
1900,0,0,0,147,21,147,483,0,21,0,0,0,21,0,0,0,0,21,63,0,0,0,0,63,0,0,63,0,42,147,0,0,21,42,21,0,0,0,0,0,0,0,0,0,0,21,0,0,0,105,0,21,273,168,0,0,0,0,0,0,84,0,21,0,0,21,42,0,0
1904,0,26,0,117,13,78,325,0,0,0,0,13,0,91,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,65,0,0,13,26,143,0,0,0,0,0,0,0,0,13,0,0,0,13,0,65,0,0,0,0,0,0,0,0,0,0,26,0,13,0,0,0,26,91,0
1908,0,38,0,114,19,57,494,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,76,19,0,19,0,38,0,0,0,0,19,0,0,0,19,0,19,38,0,0,76,0,19,76,285,0,0,0,0,0,0,114,0,19,0,0,57,0,95,76
1912,0,72,0,162,18,0,540,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,18,36,36,0,0,90,0,0,18,0,72,0,0,0,0,0,0,0,0,0,18,0,0,0,0,72,0,0,72,324,0,0,0,0,0,0,144,0,18,0,0,0,0,0,90
1920,0,110,0,220,22,220,638,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,44,88,22,44,44,44,0,132,22,0,22,0,88,0,0,0,0,0,0,0,0,0,22,22,0,0,0,110,0,22,308,462,0,0,0,0,0,0,110,0,22,0,0,0,110,110,110
1924,0,135,0,297,27,0,729,0,27,0,0,27,27,216,0,27,0,0,0,0,0,0,54,108,27,54,54,0,0,189,0,0,27,0,243,0,0,0,0,0,0,0,0,0,27,27,0,0,0,189,0,27,81,270,0,0,0,0,0,0,135,0,0,0,27,0,135,189,162
1928,0,132,0,363,33,0,891,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,66,132,66,66,66,0,0,231,33,0,33,0,264,0,0,0,0,0,0,0,0,33,33,0,0,0,0,231,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,165,231,198
1932,0,112,0,308,28,0,812,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,56,112,56,56,56,0,0,196,28,0,0,0,308,0,0,0,0,0,0,0,0,28,28,0,0,0,0,196,0,0,112,56,0,0,0,0,0,0,0,0,0,0,0,0,140,196,196
1936,0,128,0,352,32,0,928,0,32,0,0,32,0,256,0,288,0,0,0,0,0,0,64,128,64,64,64,0,0,224,32,0,32,0,288,0,0,0,32,0,0,0,0,0,32,32,0,0,0,224,0,0,128,96,0,0,0,0,0,0,0,0,0,0,0,0,160,224,224
1948,0,148,0,407,37,0,1221,0,0,0,0,37,0,296,0,333,0,0,0,0,0,0,74,148,74,74,74,0,0,259,37,0,37,0,333,0,0,0,0,0,0,0,0,37,37,0,0,0,0,259,0,0,185,148,0,0,0,0,0,0,0,0,0,0,0,0,222,296,296
1952,0,172,0,473,43,0,1419,0,0,0,0,43,0,430,0,387,0,0,0,0,0,0,86,172,86,86,86,0,0,301,43,0,43,0,645,0,0,0,0,0,0,0,0,0,86,0,0,0,0,301,0,0,215,301,0,0,0,0,0,0,0,0,0,0,0,0,301,344,344
1956,0,152,0,494,38,0,1254,0,38,0,0,38,0,380,0,342,0,0,0,0,0,0,76,152,76,76,76,0,0,266,38,0,38,0,570,0,0,0,38,0,0,0,0,0,76,0,0,0,0,266,0,0,190,266,0,0,0,0,0,0,0,0,0,0,0,0,266,304,304
1960,0,176,0,660,44,0,1496,0,0,0,0,44,0,440,0,308,0,0,0,0,0,0,88,176,44,88,88,0,0,352,44,0,44,0,616,0,0,0,0,0,0,0,0,0,88,0,0,0,0,308,0,0,220,264,0,0,0,0,0,0,0,0,0,0,0,0,308,352,352
1964,0,164,0,738,41,0,1476,0,41,0,0,41,0,410,0,287,0,0,0,0,0,0,82,205,82,82,82,0,0,328,41,0,41,0,574,0,0,0,0,0,164,0,0,0,82,0,0,0,0,287,0,0,205,246,0,0,0,0,0,0,0,0,0,0,82,0,287,328,328
1968,0,176,0,1276,44,0,1584,0,0,0,0,44,44,484,0,308,0,0,0,0,0,0,88,220,88,88,88,0,0,352,44,0,44,0,616,0,0,0,0,0,0,0,0,0,88,0,0,0,0,308,0,0,220,308,0,0,0,0,0,0,44,0,0,0,88,0,308,352,352
1972,0,192,0,1392,48,96,1824,48,0,0,0,48,0,528,0,336,192,0,0,0,0,0,96,240,96,96,96,0,0,384,48,0,48,0,672,0,0,48,0,0,288,0,0,0,96,0,0,0,0,336,0,0,288,384,0,0,0,0,0,0,0,0,0,0,96,0,432,480,480
1976,0,164,0,1066,41,82,1517,0,0,0,0,82,0,451,0,451,0,0,0,0,0,0,82,164,82,82,82,0,0,328,41,0,41,0,574,0,0,82,0,0,246,0,0,0,82,0,0,0,0,574,0,0,246,287,0,0,0,0,0,0,0,0,0,0,82,0,369,410,410
1980,0,144,0,936,36,72,1368,0,0,0,0,72,0,396,0,396,0,0,0,0,0,0,72,144,72,72,72,0,0,288,72,0,36,0,504,0,0,72,0,0,288,0,0,0,72,0,0,0,0,504,0,0,216,252,0,0,0,0,0,0,0,0,0,0,72,0,360,360,360
1984,94,188,0,1363,47,94,1927,0,47,0,0,94,0,564,0,564,0,0,0,0,0,0,141,235,94,94,94,0,0,376,94,0,47,0,658,47,0,94,0,0,376,0,0,0,94,0,0,0,0,658,0,0,329,517,0,0,0,0,0,0,47,0,0,0,94,0,470,470,470
1988,104,208,0,1612,52,208,2184,52,52,0,0,104,0,624,0,624,0,0,0,0,0,0,156,312,104,104,104,0,0,416,104,0,52,0,728,52,0,104,0,0,364,0,0,0,104,0,0,0,0,728,0,0,416,676,0,0,0,0,208,52,208,0,0,0,104,0,520,520,520
1992,128,256,0,1984,64,256,2752,256,64,0,0,128,64,768,0,768,256,0,0,0,0,0,192,448,128,128,128,0,0,512,128,0,64,0,896,64,0,128,0,0,896,0,0,0,128,0,0,0,0,896,0,0,640,832,0,0,0,0,256,64,256,0,0,0,128,0,640,640,640
1996,79,316,0,2528,79,316,3476,395,79,79,0,158,0,948,0,948,316,0,0,0,0,158,316,632,158,158,158,0,0,790,158,0,158,0,1106,158,0,158,0,0,1106,0,0,0,79,0,0,0,0,1106,0,0,790,1185,0,0,0,0,316,0,316,0,0,158,158,0,790,790,790
2000,160,640,0,2560,160,320,3680,400,80,80,0,160,0,960,0,960,320,0,0,0,0,160,320,960,160,160,160,0,0,800,160,0,160,0,1120,160,160,160,0,0,1120,0,0,0,160,0,0,0,0,1120,0,0,880,1360,0,0,0,0,320,640,320,160,0,160,160,0,1200,640,640
2004,148,592,0,2368,148,296,3404,370,74,74,0,148,0,814,0,888,296,0,0,0,0,148,296,888,148,148,148,0,0,740,148,0,148,0,1036,148,148,148,0,0,1036,0,0,0,148,0,0,0,0,1036,0,0,814,1258,0,0,0,0,296,592,296,148,0,148,148,0,1110,814,518
2008,174,696,174,2784,174,348,4089,435,87,87,0,174,0,957,0,1044,348,0,0,0,174,174,348,870,174,174,174,0,0,870,174,0,174,0,1218,174,174,174,0,0,1218,0,0,0,174,0,0,0,0,1218,0,0,957,1305,0,0,0,0,348,696,348,174,0,174,174,0,1305,957,609
2012,172,688,172,2752,172,344,4042,430,0,0,0,172,0,1118,0,1032,344,0,0,0,172,172,344,860,172,172,172,0,0,860,172,0,172,0,1204,172,172,172,0,0,1204,0,0,0,172,0,0,0,0,1204,0,0,860,1290,0,0,0,0,344,688,430,172,0,172,172,0,1290,946,602
2016,172,688,172,2752,172,344,4042,430,0,0,0,172,0,1118,0,1032,344,0,0,0,172,172,344,860,172,172,172,0,0,860,172,0,172,172,1204,172,172,172,0,0,1204,0,0,0,172,0,0,0,0,1204,172,0,860,1290,0,0,0,0,344,688,430,172,0,172,172,0,1290,1032,516
2020,186,744,186,3255,186,465,4464,465,93,93,186,186,0,1209,0,1116,372,0,0,186,186,186,372,1116,186,186,186,0,0,1116,186,0,186,186,1302,186,186,186,0,0,1395,744,0,0,186,0,0,0,0,1302,186,0,930,1395,372,186,0,186,465,744,465,279,0,186,186,0,1302,1116,558
2024,182,728,182,3185,182,455,4368,455,0,0,182,182,0,1183,182,910,546,0,0,182,182,182,364,1092,182,182,182,0,0,1092,182,0,182,182,1274,182,182,182,0,0,1365,0,0,0,182,0,0,0,0,1274,182,0,910,1365,364,364,0,182,455,728,455,273,0,182,182,0,910,1092,546
